word|esp|vad.valence|vad.arousal|vad.dominance|sent.anger|sent.anticipation|sent.disgust|sent.fear|sent.joy|sent.sadness|sent.surprise|sent.trust
"aaaaaaah"|"aaaaaaah"|0.479|0.606|0.291|0.000|0.000|0.000|0.344|0.000|0.000|0.000|0.000
"aaaah"||0.520|0.636|0.282|0.000|0.000|0.000|0.234|0.000|0.000|0.000|0.000
"aardvark"|"cerdo hormiguero"|0.427|0.490|0.437|0.014|0.001|0.000|0.003|0.000|0.004|0.000|0.000
"aback"|"detrás"|0.385|0.407|0.288|0.001|0.001|0.004|0.001|0.000|0.004|0.000|0.000
"abacus"|"ábaco"|0.510|0.276|0.485|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.406
"abalone"|"abulón"|0.500|0.480|0.412|0.001|0.000|0.001|0.005|0.002|0.001|0.001|0.000
"abandon"|"abandonar"|0.052|0.519|0.245|0.000|0.000|0.000|0.531|0.000|0.703|0.000|0.000
"abandoned"|"abandonado"|0.046|0.481|0.130|0.222|0.000|0.000|0.534|0.000|0.828|0.000|0.000
"abandonment"|"abandono"|0.128|0.430|0.202|0.438|0.000|0.000|0.609|0.000|0.859|0.523|0.000
"abashed"|"avergonzado"|0.177|0.644|0.307|0.039|0.000|0.015|0.006|0.000|0.033|0.000|0.000
"abate"|"disminuir"|0.255|0.696|0.604|0.010|0.000|0.001|0.032|0.000|0.006|0.000|0.000
"abatement"|"disminución"|0.388|0.338|0.336|0.000|0.002|0.005|0.004|0.000|0.012|0.001|0.001
"abba"|"Abba"|0.562|0.500|0.480|0.001|0.001|0.001|0.000|0.004|0.000|0.000|0.005
"abbey"|"abadía"|0.580|0.367|0.444|0.000|0.001|0.000|0.000|0.004|0.000|0.001|0.049
"abbot"||0.427|0.321|0.483|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.438
"abbreviate"|"abreviar"|0.531|0.375|0.330|0.003|0.002|0.003|0.001|0.001|0.001|0.000|0.002
"abbreviation"|"abreviatura"|0.469|0.306|0.345|0.001|0.001|0.001|0.004|0.000|0.003|0.001|0.023
"abdomen"|"abdomen"|0.469|0.462|0.471|0.002|0.003|0.002|0.003|0.000|0.001|0.001|0.002
"abdominal"|"abdominal"|0.490|0.456|0.445|0.002|0.002|0.001|0.008|0.001|0.001|0.002|0.002
"abduct"|"secuestrar"|0.173|0.720|0.615|0.325|0.000|0.003|0.105|0.000|0.006|0.001|0.000
"abduction"|"secuestro"|0.062|0.990|0.673|0.000|0.000|0.000|0.700|0.000|0.750|0.773|0.000
"aberrant"|"aberrante"|0.146|0.765|0.431|0.138|0.000|0.035|0.021|0.000|0.020|0.000|0.000
"aberration"|"aberración"|0.125|0.816|0.417|0.000|0.000|0.531|0.000|0.000|0.000|0.000|0.000
"abeyance"|"suspensión"|0.330|0.510|0.292|0.000|0.391|0.000|0.000|0.000|0.000|0.000|0.000
"abhor"|"aborrecer"|0.125|0.602|0.349|0.816|0.000|0.609|0.547|0.000|0.000|0.000|0.000
"abhorrence"|"aborrecimiento"|0.167|0.684|0.420|0.000|0.000|0.742|0.000|0.000|0.000|0.000|0.000
"abhorrent"|"aborrecible"|0.229|0.750|0.474|0.875|0.000|0.680|0.672|0.000|0.000|0.000|0.000
"abide"|"acatar"|0.635|0.354|0.705|0.000|0.367|0.000|0.000|0.000|0.000|0.000|0.000
"abiding"|"permanencia"|0.796|0.327|0.750|0.000|0.001|0.000|0.002|0.009|0.000|0.000|0.246
"ability"|"capacidad"|0.875|0.510|0.816|0.000|0.002|0.000|0.000|0.083|0.000|0.001|0.058
"abject"|"abyecto"|0.354|0.590|0.417|0.000|0.000|0.438|0.000|0.000|0.000|0.000|0.000
"ablation"|"ablación"|0.418|0.500|0.500|0.009|0.005|0.000|0.009|0.000|0.001|0.000|0.002
"ablaze"|"ardiendo"|0.240|0.847|0.525|0.019|0.000|0.001|0.038|0.000|0.002|0.003|0.000
"able"|"poder"|0.786|0.500|0.810|0.000|0.002|0.000|0.000|0.004|0.000|0.000|0.053
"abnormal"|"anormal"|0.137|0.604|0.309|0.000|0.000|0.438|0.000|0.000|0.000|0.000|0.000
"abnormality"|"anormalidad"|0.092|0.655|0.383|0.032|0.000|0.009|0.005|0.000|0.056|0.000|0.000
"aboard"|"a bordo"|0.698|0.284|0.481|0.000|0.000|0.000|0.000|0.016|0.000|0.000|0.051
"abode"|"morada"|0.620|0.302|0.500|0.000|0.005|0.001|0.001|0.001|0.000|0.000|0.073
"abolish"|"abolir"|0.448|0.615|0.529|0.485|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"abolition"|"abolición"|0.323|0.690|0.529|0.031|0.000|0.001|0.041|0.000|0.002|0.000|0.000
"abominable"|"abominable"|0.120|0.731|0.482|0.000|0.000|0.664|0.738|0.000|0.000|0.000|0.000
"abominate"|"abominar"|0.198|0.788|0.366|0.000|0.000|0.680|0.000|0.000|0.000|0.000|0.000
"abomination"|"abominación"|0.078|0.755|0.518|0.844|0.000|0.742|0.844|0.000|0.000|0.000|0.000
"aboriginal"|"aborigen"|0.448|0.427|0.542|0.001|0.002|0.001|0.002|0.000|0.001|0.001|0.008
"abort"|"abortar"|0.153|0.686|0.429|0.090|0.000|0.006|0.006|0.000|0.007|0.000|0.000
